Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,Service points won,Receiver points won,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2024,8,45504,B,Preliminary,Paris,France,Kenya,Poland,-,-,0,3,14,17,15,-,-,25,25,25,-,-,2,15,13,1,1,0,13,5,12,30,1,2,10,13,1,2,14,17,6,4,13,23,12,9,23,3,0,27,30
2024,8,45504,B,Preliminary,Paris,France,Kenya,Poland,-,-,0,3,14,17,15,-,-,25,25,25,-,-,3,12,10,0,2,0,10,6,14,30,0,7,7,14,2,1,13,16,8,0,14,22,5,10,19,3,0,23,26
2024,9,45505,C,Preliminary,Paris,France,Türkiye,Dominican Republic,38/95 (40%),58/81 (72%),3,1,21,25,25,25,-,25,18,22,15,-,ALL,80,60,11,9,0,60,12,50,122,11,13,23,47,9,14,72,95,44,4,21,69,40,21,83,57,1,60,118
2024,9,45505,C,Preliminary,Paris,France,Türkiye,Dominican Republic,5/22 (23%),16/24 (67%),3,1,21,25,25,25,-,25,18,22,15,-,1,15,12,3,0,0,12,6,13,31,3,2,7,12,0,4,18,22,16,1,3,20,8,7,22,19,0,11,30
2024,9,45505,C,Preliminary,Paris,France,Türkiye,Dominican Republic,10/24 (42%),15/19 (79%),3,1,21,25,25,25,-,25,18,22,15,-,2,21,18,1,2,0,18,2,10,30,1,3,8,12,2,4,18,24,8,1,6,15,9,5,21,12,1,18,31
2024,9,45505,C,Preliminary,Paris,France,Türkiye,Dominican Republic,11/25 (44%),14/22 (64%),3,1,21,25,25,25,-,25,18,22,15,-,3,23,18,3,2,0,18,3,15,36,3,6,5,14,2,3,20,25,14,1,7,22,10,6,23,20,0,14,34
2024,9,45505,C,Preliminary,Paris,France,Türkiye,Dominican Republic,12/24 (50%),13/16 (81%),3,1,21,25,25,25,-,25,18,22,15,-,4,21,12,4,5,0,12,1,12,25,4,2,3,9,5,3,16,24,6,1,5,12,13,3,17,6,0,17,23
2024,9,45505,C,Preliminary,Paris,France,Dominican Republic,Türkiye,23/81 (28%),57/95 (60%),1,3,25,18,22,15,-,21,25,25,25,-,ALL,59,49,6,4,0,49,17,57,123,6,20,28,54,4,10,67,81,32,9,40,81,21,18,67,28,0,83,111
2024,9,45505,C,Preliminary,Paris,France,Dominican Republic,Türkiye,8/24 (33%),17/22 (77%),1,3,25,18,22,15,-,21,25,25,25,-,1,17,14,2,1,0,14,5,18,37,2,6,5,13,1,4,19,24,10,0,8,18,9,3,19,5,0,27,32
2024,9,45505,C,Preliminary,Paris,France,Dominican Republic,Türkiye,4/19 (21%),14/24 (58%),1,3,25,18,22,15,-,21,25,25,25,-,2,12,10,1,1,0,10,3,15,28,1,4,7,12,1,2,16,19,3,2,15,20,2,6,15,5,0,19,24
2024,9,45505,C,Preliminary,Paris,France,Dominican Republic,Türkiye,8/22 (36%),14/25 (56%),1,3,25,18,22,15,-,21,25,25,25,-,3,18,15,2,1,0,15,5,11,31,2,7,10,19,1,0,21,22,13,2,7,22,6,4,17,9,0,21,30
2024,9,45505,C,Preliminary,Paris,France,Dominican Republic,Türkiye,3/16 (19%),12/24 (50%),1,3,25,18,22,15,-,21,25,25,25,-,4,12,10,1,1,0,10,4,13,27,1,3,6,10,1,4,11,16,6,5,10,21,4,5,16,9,0,16,25
2024,10,45505,B,Preliminary,Paris,France,Brazil,Japan,33/73 (45%),42/57 (74%),3,0,25,25,25,-,-,20,17,18,-,-,ALL,59,45,10,4,0,45,10,44,99,10,15,34,59,4,9,60,73,29,2,14,45,45,7,64,22,1,72,95
2024,10,45505,B,Preliminary,Paris,France,Brazil,Japan,10/24 (42%),15/21 (71%),3,0,25,25,25,-,-,20,17,18,-,-,1,19,13,4,2,0,13,6,9,28,4,5,9,18,2,5,17,24,11,1,4,16,10,2,13,6,0,20,26
2024,10,45505,B,Preliminary,Paris,France,Brazil,Japan,14/25 (56%),11/17 (65%),3,0,25,25,25,-,-,20,17,18,-,-,2,19,16,2,1,0,16,3,18,37,2,4,12,18,1,2,22,25,8,0,5,13,19,3,28,9,1,26,36
2024,10,45505,B,Preliminary,Paris,France,Brazil,Japan,9/24 (38%),16/19 (84%),3,0,25,25,25,-,-,20,17,18,-,-,3,21,16,4,1,0,16,1,17,34,4,6,13,23,1,2,21,24,10,1,5,16,16,2,23,7,0,26,33
2024,10,45505,B,Preliminary,Paris,France,Japan,Brazil,15/57 (26%),40/73 (55%),0,3,20,17,18,-,-,25,25,25,-,-,ALL,37,32,3,2,0,32,16,63,111,3,13,28,44,2,9,45,56,40,4,18,62,43,11,67,47,0,61,108
